# HAN (c) Todt
ID	WCFS1.glc.over.NC8.glc	fdr.WCFS1.glc.over.NC8.glc
lp_0812	0.15257998	0.6501176311
lp_0813	0.0836489034	0.8151173882
lp_0814	0.0183724437	0.9646406323
lp_0815	-0.2062267101	0.3196173407
lp_0816	0.099941945	0.7519017185
lp_0817	-0.3528561156	0.0345769311
lp_0818	0.1123157359	0.6767680641
lp_0819	-0.0489402848	0.8900575286
lp_0820	0.0644529227	0.832820725
lp_0822	-0.4241112014	0.0438163378
lp_0823	-0.4209673565	0.1019632899
lp_0824	0.2949739489	0.1218985626
lp_0825	0.2762057621	0.4297369942
lp_0826	-0.0973502211	0.8034499174
lp_0827	0.0046101674	0.9936673459
lp_0828	0.6148408768	0.0494633827
lp_0829	0.3428305259	0.2448398198
lp_0830	0.2833675866	0.6092316362
lp_0835	1.209689144	5.09E-005
lp_0836	-0.4395665892	0.1660992892
lp_0837	-0.1559544816	0.5266638533
lp_0838	-0.2320764957	0.2873164485
lp_0840	-0.0592286884	0.9428397516
lp_0841	0.1612232127	0.6066687211
lp_0842	0.1766685037	0.5351922812
lp_0843	0.0961159785	0.7684150627
lp_0844	-0.2495372228	0.5442228472
lp_0845	0	1
lp_0846	0.2641693549	0.3762808177
lp_0848	0.3637478247	0.3151234064
lp_0849	0.1689464955	0.7207840682
lp_0850	0.2818051791	0.597479423
lp_0853	-0.0955800807	0.7708123967
lp_0854	0.7323074591	5.21E-005
lp_0856	0.6110213499	0.0009372647
lp_0857	0.0001199599	0.9995824822
lp_0858	0.7641204848	0.0003961544
lp_0861	-0.1502541476	0.6351258765
lp_0862	0.094305186	0.8795147513
lp_0863	0.246289369	0.3639523732
lp_0864	0.0424157079	0.9306392469
lp_0865	0.1350107667	0.7921681897
lp_0866	-0.0353688995	0.9489861993
lp_0868	0.2906316709	0.2313717635
lp_0871	0.2106637327	0.3236976359
lp_0872	-0.3321245629	0.3087996415
lp_0874	1.5676995234	4.32E-011
lp_0875	-0.7176906195	0.0278497062
lp_0878	-0.10405054	0.8312049976
lp_0881	0.0029527987	0.9936673459
lp_0882	-0.1054186716	0.7255376163
lp_0883	-0.0273380245	0.9600806191
lp_0884	-0.1820313144	0.7777036071
lp_0885	0	1
lp_0886	-0.0964685847	0.8378520497
lp_0887	-0.2002255148	0.6501176311
lp_0888	0.2456919059	0.3429045295
lp_0889	1.0720604951	0.0001057883
lp_0891	0.211986916	0.4555536404
lp_0892	-0.2030615086	0.5697181482
lp_0893	-0.4076400613	0.104775585
lp_0894	1.3501930418	8.26E-012
lp_0895	-0.0137549434	0.9747642079
lp_0896	0.2727981244	0.2325246155
lp_0897	0.0740399757	0.8669746929
lp_0898	0	1
lp_0900	-0.0513126955	0.8804349593
lp_0901	-0.0773361365	0.8089931899
lp_0902	-0.3302041382	0.1152919717
lp_0903	-0.2089584078	0.4939971975
lp_0907	-0.8327854225	5.33E-005
lp_0910	-0.1917898586	0.3963443162
lp_0912	-0.4400471345	0.437340239
lp_0913	0.3383027242	0.2478149236
lp_0914	0.4900679707	0.0113167194
lp_0924	-1.2746785081	0.0020341339
lp_0925	-0.8719397055	3.80E-006
lp_0926	0.649457333	0.0045526893
lp_0927	0.5484032713	0.0050904019
lp_0928	0.470895113	0.1266898422
lp_0929	0.4562457608	0.0223335037
lp_0930	0.5005254611	0.0356406095
lp_0931	1.9406014185	1.12E-017
lp_0932	1.4770332653	2.16E-012
lp_0934	2.1205046355	5.93E-011
lp_0935	1.6447430667	1.07E-008
lp_0937	0.2326146493	0.3452427011
lp_0945	-3.58615424	6.98E-010
lp_0946	-0.2438316602	0.6924771636
lp_0947	0.7718429467	0.0164532761
lp_0948	0.5114033214	0.2093146791
lp_0949	0.5854521605	0.0629842106
lp_0950	1.0496782536	0.0001898583
lp_0951	-0.5226446018	0.1373658655
lp_0954	0.6140777395	0.0024404834
lp_0955	0.6604099177	0.0008958612
lp_0957	-0.7432602723	3.99E-005
lp_0959	-0.1461749077	0.6501176311
lp_0960	-0.0832378119	0.8770065067
lp_0960a	-0.6998671418	0.052110898
lp_0962	0.1902829238	0.5020676791
lp_0963	-0.0130226583	0.9747642079
lp_0965	1.2765467702	1.40E-009
lp_0966	0.4831883929	0.2253166087
lp_0967	0.352594881	0.2182282016
lp_0968	0.3075639872	0.1783573372
lp_0969	0.1053837823	0.7810604913
lp_0970	0.0111377851	0.9785382216
lp_0971	0.4783074238	0.0232253481
lp_0972	0.1823879188	0.6351258765
lp_0973	0	1
lp_0975	0	1
lp_0977	-0.1095209328	0.7523586621
lp_0979	-0.1129399953	0.7778474607
lp_0981	2.8503969136	5.94E-027
lp_0982	2.4023996531	6.93E-026
lp_0984	0.0157486918	0.9747642079
lp_0988	0.022284475	0.9689288654
lp_0990	-0.4116732542	0.0826734614
lp_0991	-0.3402359328	0.0681601564
lp_0992	-0.0367080887	0.9676846236
lp_0995	-0.1107880628	0.7519017185
lp_0996	0.0926834088	0.8189482511
lp_0997	0.2517471349	0.6577822287
lp_0998	0.2340564801	0.4408569293
lp_0999	0.1209342011	0.7708123967
lp_1000	-0.335837548	0.0777036692
lp_1001	-0.7792142735	0.0021842699
lp_1002	0.7305396253	0.0020586061
lp_1003	-0.5939430552	0.0242220657
lp_1004	-0.4383877139	0.0564680238
lp_1005	0.1185144164	0.6732178342
lp_1008	0.4129481996	0.0442520625
lp_1010	-0.3157659003	0.1024848262
lp_1011	-0.2080188985	0.8575882599
lp_1018	-0.2064699474	0.4034356836
lp_1020	0.3110867982	0.1496796545
lp_1021	0.1062666793	0.7368082641
lp_1022	0.0255346689	0.9600806191
lp_1023	0	1
lp_1025	-0.0865034279	0.801295948
lp_1026	-0.1283488278	0.6383358883
lp_1027	-0.135752825	0.6422063835
lp_1032	-0.1044579369	0.7197889472
lp_1033	-0.1573846915	0.6456256136
lp_1034	-0.0450098227	0.888845848
lp_1035	-0.0282159692	0.9494500543
lp_1036	-0.0174182558	0.9706615249
lp_1038	-0.1309378034	0.6560320158
lp_1039	0.0374367951	0.9208637291
lp_1040	-0.0506048145	0.8804349593
lp_1041	-0.0892567155	0.7729531571
lp_1043	-0.066888001	0.8552898877
lp_1044	-0.2279426537	0.6351258765
lp_1045	-0.112182887	0.719133933
lp_1046	-0.0262789165	0.9493913468
lp_1047	-0.0369810403	0.9222226553
lp_1050	-0.111418526	0.7290939464
lp_1051	-0.0888901371	0.7778385261
lp_1052	-0.1413635416	0.6233236662
lp_1053	-0.0861797504	0.8033400063
lp_1054	-0.0704437479	0.8513704574
lp_1055	-0.4572878324	0.0488292481
lp_1056	-0.1153060589	0.7207840682
lp_1058	-0.0213662027	0.9659816009
lp_1059	-0.1227807523	0.7212444292
lp_1060	-0.4366624757	0.4688575938
lp_1061	-0.1453952842	0.677450605
lp_1062	0.0308362236	0.9438763585
lp_1063	-0.1108966751	0.7112736771
lp_1066	-0.1918705792	0.5293077072
lp_1067	-0.2710921352	0.3513692888
lp_1068	-0.2977811116	0.2437930966
lp_1069	-0.7042150566	3.60E-005
lp_1070	-0.0602856558	0.8638271638
lp_1072	-0.040127468	0.9428951501
lp_1073	-0.067110452	0.816546003
lp_1074	-0.0733165701	0.8189482511
lp_1075	-0.1057983502	0.6829496726
lp_1076	-0.1194124651	0.6508062391
lp_1077	0.0367522112	0.9235149173
lp_1078	-0.0482346665	0.9120001514
lp_1079	0.7777074863	5.96E-005
lp_1081	0	1
lp_1082	0.5174684132	0.2560226089
lp_1084	-0.1828180043	0.7412727588
lp_1085	0.105284441	0.8312049976
lp_1088	0	1
lp_1089	0	1
lp_1090	0	1
